model_name,hyperparameter_setting,mean_training_rmse,sd_training_rmse,test_rmse
DTR,squared_error_5,1.1882787859267419,1.0900820088079346,1.2119702600709603
DTR,squared_error_10,1.1057440813667203,1.0515436659343826,1.2775433067407498
DTR,squared_error_20,0.6175239965407373,0.7858269507599859,1.6087511251208622
DTR,absolute_error_5,1.2127099447925194,1.101231104170473,1.2337996273335223
DTR,absolute_error_10,1.1551181328430504,1.0747642219775695,1.2878379788313346
DTR,absolute_error_20,0.8192548838935299,0.9051269987651069,1.5309407326177655
Ridge,1e-05,1.2251175184938439,1.106850269229693,1.2266332316124753
Ridge,0.0001,1.2251175184938503,1.106850269229696,1.2266332284487813
Ridge,0.001,1.2251175184945173,1.1068502692299973,1.2266331968166653
Ridge,0.01,1.2251175185610497,1.106850269260052,1.2266328809771079
Ridge,0.1,1.2251175250465374,1.1068502721897562,1.226629769916387
Ridge,1.0,1.2251180371828412,1.1068505035382337,1.2266026964836265
Ridge,10.0,1.2251303473500723,1.1068560644230452,1.2264855393425265
Ridge,100.0,1.2251771823912332,1.1068772210101865,1.2263534685255186
Ridge,1000.0,1.2254269975678596,1.10699006209083,1.226342763323015
Ridge,10000.0,1.2286958059792816,1.1084655186244097,1.229017223645453
Ridge,100000.0,1.2382419296310658,1.1127631956670143,1.238088318378702
KNN,1,0.04105682678307469,0.20262484246280044,1.6775763526013907
KNN,5,1.0631248547544838,1.0310794609313503,1.3051229351092029
KNN,15,1.1505632133328203,1.0726430969026093,1.232306255240662
