feature_set,training_rmse,test_rmse
artist,1.243392801232315,1.2435907675703408
reviewauthor,1.2433453372291796,1.2434978989990189
releaseyear,1.2359943530488058,1.2329724185986004
recordlabel,1.2429686960661306,1.2442572981604387
genre,1.242326347244276,1.2423531965917862
danceability,1.2403624811168052,1.2411216679701795
energy,1.2408996348511498,1.2398458730020299
key,1.243496923174605,1.2438043904416531
loudness,1.2369677308868923,1.2375610656577427
speechiness,1.243530352132152,1.2435664640208393
acousticness,1.240369660255145,1.240110772671198
instrumentalness,1.2389894862716466,1.2388666922509566
liveness,1.2435343862705004,1.243558495861883
valence,1.2422681208896402,1.2409463540508212
tempo,1.2431951977873865,1.2422845242297174
danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,1.2330909558758991,1.235575915932016
artist_reviewauthor_releaseyear_recordlabel_genre,1.23334143253254,1.231690110235088
artist_reviewauthor_releaseyear_recordlabel_genre_danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,1.2243365400313777,1.2247687129023421
